datetime,low,high,open,close,volumefrom,volumeto
2017-10-02 08:00:00,54.63,54.77,54.66,54.72,3304.78,180727.63
2017-10-02 09:00:00,54.62,54.88,54.72,54.79,3721.31,203679.63
2017-10-02 10:00:00,54.62,54.87,54.79,54.63,4211.34,230553.87
2017-10-02 11:00:00,54.0,54.69,54.63,54.01,13331.96,724762.1
2017-10-02 12:00:00,53.63,54.18,54.01,53.71,12489.88,673313.94
2017-10-02 13:00:00,53.69,54.07,53.71,53.82,10534.93,567378.0
2017-10-02 14:00:00,53.69,54.12,53.82,54.12,6526.32,351899.13
2017-10-02 15:00:00,53.73,54.12,54.12,53.84,8912.83,480442.84
2017-10-02 16:00:00,53.73,53.93,53.84,53.75,7462.9,401643.35
2017-10-02 17:00:00,53.16,53.91,53.75,53.18,17604.69,940927.61
2017-10-02 18:00:00,52.62,53.36,53.18,53.08,30666.02,1626629.89
2017-10-02 19:00:00,53.0,53.55,53.08,53.3,10235.74,546074.54
2017-10-02 20:00:00,53.18,53.41,53.3,53.19,10449.85,557187.06
2017-10-02 21:00:00,53.03,53.35,53.19,53.1,8891.55,472897.96
2017-10-02 22:00:00,53.0,53.18,53.1,53.0,4992.58,265121.81
2017-10-02 23:00:00,53.0,53.39,53.0,53.37,6529.18,347875.78
2017-10-03 00:00:00,53.25,53.38,53.37,53.29,5526.1,294667.54
2017-10-03 01:00:00,53.11,53.59,53.29,53.44,8858.62,472378.64
2017-10-03 02:00:00,53.4,53.5,53.44,53.42,3706.14,198027.03
2017-10-03 03:00:00,53.17,53.42,53.42,53.28,5141.11,273866.69
2017-10-03 04:00:00,53.27,53.4,53.28,53.39,2390.18,127520.54
2017-10-03 05:00:00,52.16,53.42,53.39,52.45,22225.8,1173407.03
2017-10-03 06:00:00,51.69,52.54,52.45,51.75,34537.25,1796091.12
2017-10-03 07:00:00,51.35,52.09,51.75,51.84,19248.92,993178.81
2017-10-03 08:00:00,51.61,52.5,51.84,52.44,16845.47,879219.66
2017-10-03 09:00:00,51.71,52.44,52.44,52.01,5592.66,290682.41
2017-10-03 10:00:00,51.5,52.14,52.01,52.1,6047.88,313590.69
2017-10-03 11:00:00,51.82,52.19,52.1,52.11,6501.82,338229.16
2017-10-03 12:00:00,51.71,52.11,52.11,51.73,7605.31,394828.59
2017-10-03 13:00:00,51.4,51.82,51.73,51.71,12962.67,669005.55
2017-10-03 14:00:00,51.56,51.92,51.71,51.91,8078.41,417503.99
2017-10-03 15:00:00,51.85,52.0,51.91,52.0,8397.21,436044.38
2017-10-03 16:00:00,51.74,52.25,52.0,51.79,13488.53,702001.69
2017-10-03 17:00:00,51.62,52.0,51.79,51.92,7550.14,391151.37
2017-10-03 18:00:00,51.86,52.25,51.92,52.19,11258.8,586377.48
2017-10-03 19:00:00,51.8,52.34,52.19,51.89,9521.99,495859.71
2017-10-03 20:00:00,51.68,51.9,51.89,51.9,6353.77,329290.58
2017-10-03 21:00:00,51.86,52.06,51.9,51.94,3795.48,197205.16
2017-10-03 22:00:00,51.9,52.03,51.94,52.03,2571.24,133537.1
2017-10-03 23:00:00,52.03,52.15,52.03,52.15,4625.72,240982.64
2017-10-04 00:00:00,51.85,52.15,52.15,51.86,6273.36,325795.64
2017-10-04 01:00:00,51.85,52.08,51.86,52.03,5005.86,260300.96
2017-10-04 02:00:00,51.97,52.09,52.03,52.0,4011.26,208663.67
2017-10-04 03:00:00,52.0,52.07,52.0,52.02,2314.27,120428.23
2017-10-04 04:00:00,52.01,52.25,52.02,52.24,5008.42,261200.56
2017-10-04 05:00:00,52.23,52.67,52.24,52.64,11742.99,616770.11
2017-10-04 06:00:00,52.63,53.0,52.64,52.82,10603.9,560588.79
2017-10-04 07:00:00,52.62,52.85,52.82,52.68,2820.72,148766.11
2017-10-04 08:00:00,52.51,52.72,52.68,52.57,7676.67,403320.49
2017-10-04 09:00:00,52.05,52.64,52.57,52.11,6220.94,325229.18
2017-10-04 10:00:00,51.86,52.25,52.11,52.13,6560.23,341008.26
2017-10-04 11:00:00,51.97,52.19,52.13,52.17,2807.74,146220.75
2017-10-04 12:00:00,51.55,52.3,52.17,51.56,8547.1,443348.94
2017-10-04 13:00:00,51.36,51.67,51.56,51.51,16383.53,843854.63
2017-10-04 14:00:00,51.49,51.65,51.51,51.57,4382.58,226030.58
2017-10-04 15:00:00,51.47,51.63,51.57,51.61,5757.37,296803.26
2017-10-04 16:00:00,51.58,51.69,51.61,51.63,4270.46,220432.85
2017-10-04 17:00:00,51.6,51.69,51.63,51.64,4298.7,222025.64
2017-10-04 18:00:00,51.0,51.64,51.64,51.09,21945.02,1125338.04
2017-10-04 19:00:00,51.0,51.11,51.09,51.03,6536.45,333810.56
2017-10-04 20:00:00,50.53,51.04,51.03,50.62,14678.96,744359.6
2017-10-04 21:00:00,50.6,51.75,50.62,51.74,32169.88,1649982.19
2017-10-04 22:00:00,51.52,51.74,51.74,51.57,5690.21,293649.8
2017-10-04 23:00:00,51.1,51.58,51.57,51.16,9537.92,489860.73
2017-10-05 00:00:00,51.13,51.35,51.16,51.19,3145.1,161051.49
2017-10-05 01:00:00,51.18,51.35,51.19,51.35,2891.27,148302.02
2017-10-05 02:00:00,51.13,51.35,51.35,51.2,3932.15,201630.68
2017-10-05 03:00:00,50.5,51.25,51.2,50.81,16475.23,836906.1
2017-10-05 04:00:00,50.5,50.81,50.81,50.63,8720.01,441201.57
2017-10-05 05:00:00,50.5,50.63,50.63,50.54,4196.95,212197.76
2017-10-05 06:00:00,50.51,50.64,50.54,50.53,3752.49,189759.25
2017-10-05 07:00:00,50.51,50.61,50.53,50.58,2450.2,123887.55
2017-10-05 08:00:00,50.39,50.61,50.58,50.39,3787.33,191317.78
2017-10-05 09:00:00,50.25,51.0,50.39,50.86,7309.01,368853.38
2017-10-05 10:00:00,50.68,51.17,50.86,50.97,5776.61,294366.08
2017-10-05 11:00:00,50.6,50.97,50.97,50.73,5818.31,295244.63
2017-10-05 12:00:00,50.6,51.47,50.73,51.31,14831.84,758960.59
2017-10-05 13:00:00,51.17,51.5,51.31,51.5,10316.87,529594.94
2017-10-05 14:00:00,51.28,51.61,51.5,51.29,6046.36,310851.18
2017-10-05 15:00:00,51.29,51.6,51.29,51.51,9667.87,497824.55
2017-10-05 16:00:00,51.35,51.52,51.51,51.4,5993.22,308419.16
2017-10-05 17:00:00,51.36,51.46,51.4,51.39,3245.19,166836.52
2017-10-05 18:00:00,51.37,51.59,51.39,51.59,8989.05,462788.25
2017-10-05 19:00:00,51.52,51.84,51.59,51.77,8752.34,452274.66
2017-10-05 20:00:00,51.63,51.92,51.77,51.76,9032.85,467772.71
2017-10-05 21:00:00,51.64,51.79,51.76,51.65,4392.63,227034.24
2017-10-05 22:00:00,51.63,51.94,51.65,51.93,4756.99,246307.25
2017-10-05 23:00:00,51.57,51.94,51.93,51.67,7979.26,412708.5
2017-10-06 00:00:00,51.4,51.67,51.67,51.62,5651.3,290976.49
2017-10-06 01:00:00,51.61,51.67,51.62,51.64,2140.48,110537.27
2017-10-06 02:00:00,51.55,51.7,51.64,51.55,4211.95,217430.44
2017-10-06 03:00:00,51.55,51.6,51.55,51.59,4963.11,255991.11
2017-10-06 04:00:00,51.59,51.6,51.59,51.59,1928.16,99486.88
2017-10-06 05:00:00,51.52,51.9,51.59,51.9,5431.47,280954.05
2017-10-06 06:00:00,51.8,52.34,51.9,52.34,12237.06,636553.28
2017-10-06 07:00:00,52.33,52.46,52.34,52.46,6663.97,349192.51
2017-10-06 08:00:00,52.32,52.46,52.46,52.33,2089.45,109517.66
2017-10-06 09:00:00,52.32,52.5,52.33,52.49,2002.71,105007.32
2017-10-06 10:00:00,52.49,52.66,52.49,52.59,3482.73,183023.47
2017-10-06 11:00:00,52.39,52.73,52.59,52.7,4512.54,237446.25
2017-10-06 12:00:00,52.51,52.71,52.7,52.61,5440.93,286376.34
2017-10-06 13:00:00,52.03,52.61,52.61,52.11,9582.87,500465.68
2017-10-06 14:00:00,52.11,52.63,52.11,52.56,6882.91,360636.32
2017-10-06 15:00:00,52.56,52.69,52.56,52.61,10129.78,532991.41
2017-10-06 16:00:00,52.34,52.62,52.61,52.47,9963.44,523260.36
2017-10-06 17:00:00,52.29,52.5,52.47,52.33,9735.29,510466.21
2017-10-06 18:00:00,52.13,52.35,52.33,52.22,6726.34,351383.79
2017-10-06 19:00:00,52.09,52.3,52.22,52.09,7150.99,373168.94
2017-10-06 20:00:00,51.92,52.2,52.09,52.13,7255.56,377873.27
2017-10-06 21:00:00,51.85,52.16,52.13,51.95,6190.89,321998.85
2017-10-06 22:00:00,51.85,52.0,51.95,51.99,3558.57,184879.85
2017-10-06 23:00:00,51.99,52.28,51.99,52.12,8961.83,467043.45
2017-10-07 00:00:00,52.0,52.17,52.12,52.01,5839.58,304305.91
2017-10-07 01:00:00,51.6,52.01,52.01,51.78,11930.46,617371.34
2017-10-07 02:00:00,51.65,51.85,51.78,51.85,5239.48,271316.04
2017-10-07 03:00:00,51.82,51.92,51.85,51.84,3620.42,187815.99
2017-10-07 04:00:00,51.8,51.95,51.84,51.92,2006.44,104163.84
2017-10-07 05:00:00,51.67,51.95,51.92,51.79,4600.18,238467.5
2017-10-07 06:00:00,51.75,51.83,51.79,51.81,2164.52,112119.44
2017-10-07 07:00:00,51.79,51.86,51.81,51.8,1058.87,54892.57
2017-10-07 08:00:00,51.79,51.87,51.8,51.86,767.62,39787.58
2017-10-07 09:00:00,51.86,51.97,51.86,51.89,1414.13,73379.81
2017-10-07 10:00:00,51.79,51.95,51.89,51.79,1166.15,60518.98
2017-10-07 11:00:00,51.75,51.83,51.79,51.76,1067.2,55260.2
2017-10-07 12:00:00,51.71,51.76,51.76,51.72,1212.95,62770.48
2017-10-07 13:00:00,51.71,51.73,51.72,51.73,2294.78,118689.06
2017-10-07 14:00:00,51.7,51.87,51.73,51.87,2643.58,136958.56
2017-10-07 15:00:00,51.87,52.04,51.87,51.95,4900.53,254745.68
2017-10-07 16:00:00,51.78,51.95,51.95,51.8,2136.92,110813.57
2017-10-07 17:00:00,51.77,51.99,51.8,51.95,2702.91,140248.84
2017-10-07 18:00:00,51.8,51.95,51.95,51.83,10003.68,519098.58
2017-10-07 19:00:00,51.8,51.92,51.83,51.87,2861.22,148407.65
2017-10-07 20:00:00,51.83,51.92,51.87,51.87,3755.15,194763.98
2017-10-07 21:00:00,51.64,51.87,51.87,51.79,5402.43,279681.92
2017-10-07 22:00:00,51.78,52.49,51.79,52.49,10765.54,561152.56
2017-10-07 23:00:00,52.46,52.85,52.49,52.57,18478.09,972854.54
2017-10-08 00:00:00,52.43,52.58,52.57,52.56,4104.71,215497.36
2017-10-08 01:00:00,52.52,52.63,52.56,52.57,4396.01,231181.54
2017-10-08 02:00:00,52.53,52.62,52.57,52.55,4447.66,233732.44
2017-10-08 03:00:00,52.5,52.56,52.55,52.55,2722.49,143024.23
2017-10-08 04:00:00,52.48,52.64,52.55,52.53,3039.7,159811.23
2017-10-08 05:00:00,52.4,52.61,52.53,52.55,3215.02,168797.77
2017-10-08 06:00:00,52.54,52.64,52.55,52.6,2556.95,134456.75
2017-10-08 07:00:00,52.53,52.66,52.6,52.57,3315.32,174381.53
2017-10-08 08:00:00,52.51,52.64,52.57,52.56,2364.7,124287.24
2017-10-08 09:00:00,52.46,52.56,52.56,52.49,1886.96,99048.84
2017-10-08 10:00:00,52.46,52.58,52.49,52.52,2297.07,120572.79
2017-10-08 11:00:00,52.51,52.65,52.52,52.54,2938.28,154461.81
2017-10-08 12:00:00,52.46,52.55,52.54,52.46,3868.17,203078.28
2017-10-08 13:00:00,52.46,52.95,52.46,52.82,10704.26,564720.33
2017-10-08 14:00:00,52.77,53.5,52.82,53.38,21044.14,1117920.11
2017-10-08 15:00:00,53.09,53.45,53.38,53.42,18169.33,967815.05
2017-10-08 16:00:00,53.37,53.92,53.42,53.91,16809.81,902699.15
2017-10-08 17:00:00,53.91,54.79,53.91,54.27,33197.51,1804215.96
2017-10-08 18:00:00,53.89,54.4,54.27,54.22,14556.41,786905.24
2017-10-08 19:00:00,54.09,54.25,54.22,54.14,8003.69,433570.62
2017-10-08 20:00:00,53.94,54.3,54.14,53.94,12215.54,661305.19
2017-10-08 21:00:00,53.88,54.0,53.94,53.88,9148.28,493231.52
2017-10-08 22:00:00,53.18,53.89,53.88,53.25,12861.03,690064.2
2017-10-08 23:00:00,53.25,53.44,53.25,53.27,4708.65,251375.8
2017-10-09 00:00:00,52.81,53.27,53.27,52.84,14899.13,789170.72
2017-10-09 01:00:00,52.84,53.41,52.84,53.14,8527.69,453716.94
2017-10-09 02:00:00,52.84,53.16,53.14,52.86,8062.63,427149.48
2017-10-09 03:00:00,52.65,53.03,52.86,52.66,6859.36,362796.79
2017-10-09 04:00:00,51.99,52.73,52.66,52.32,18304.97,956927.62
2017-10-09 05:00:00,52.18,52.55,52.32,52.55,4421.72,231574.16
2017-10-09 06:00:00,52.16,52.64,52.55,52.16,4330.09,227063.21
2017-10-09 07:00:00,52.02,52.39,52.16,52.04,8918.32,465063.02
2017-10-09 08:00:00,51.8,52.13,52.04,51.81,5106.75,265490.72
2017-10-09 09:00:00,51.7,51.96,51.81,51.93,6528.79,338061.97
2017-10-09 10:00:00,51.89,52.1,51.93,51.98,3790.87,197037.92
2017-10-09 11:00:00,51.73,52.02,51.98,51.84,5779.53,299680.45
2017-10-09 12:00:00,51.77,51.9,51.84,51.78,4194.48,217422.31
2017-10-09 13:00:00,51.71,51.83,51.78,51.8,7860.61,406925.76
2017-10-09 14:00:00,51.73,51.99,51.8,51.77,14435.26,748792.26
2017-10-09 15:00:00,51.04,51.77,51.77,51.09,23909.64,1229534.68
2017-10-09 16:00:00,50.52,51.16,51.09,50.62,24873.82,1264640.21
2017-10-09 17:00:00,50.51,51.04,50.62,50.51,23311.01,1183310.83
2017-10-09 18:00:00,48.5,50.57,50.51,48.61,77708.44,3845173.17
